Location,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,Cost,Reviewer,Rec,overall
lucha libre north park,4.0,3.5,2.5,3.0,4.5,3.0,2.0,5.0,3.5,7.5,kelsey,Yes,2.5
lucha libre north park,3.0,3.5,5.0,3.5,4.0,3.0,3.0,4.0,5.0,7.5,javier,No,3.0
lucha libre north park,5.0,3.5,2.0,3.5,3.5,3.0,4.0,2.0,4.0,7.5,sam a,Yes,3.5
lucha libre north park,3.0,2.5,2.5,3.0,2.0,2.0,1.0,5.0,5.0,7.5,sage,No,1.5
lucha libre north park,4.0,5.0,3.0,5.0,5.0,3.0,2.0,2.0,5.0,7.5,aaron s,Yes,4.0
lucha libre north park,5.0,5.0,4.0,2.0,1.0,4.0,3.0,5.0,2.0,7.5,jaeyoung,No,2.0
lucha libre north park,4.5,4.0,4.0,3.5,4.5,4.0,4.0,5.0,4.0,7.5,matteo,Yes,4.0
cancun mexican & seafood,3.0,4.0,5.0,3.5,3.0,3.5,3.5,4.0,4.0,6.45,scott,Yes,3.5
cancun mexican & seafood,4.0,3.0,4.5,4.0,4.0,3.5,3.0,4.0,5.0,6.99,emily,Yes,4.0
roberto's taco shop clairemont,4.0,3.0,4.5,4.0,4.0,4.0,5.0,2.5,5.0,5.79,scott,Yes,3.6
roberto's taco shop clairemont,4.0,4.0,3.0,4.0,2.5,3.5,4.0,2.0,5.0,5.79,benni,No,3.0
roberto's taco shop clairemont,3.7,3.8,4.7,4.0,3.5,4.5,4.0,4.0,5.0,7.29,luis,Yes,4.0
roberto's taco shop clairemont,3.0,4.0,3.0,1.5,3.0,4.0,4.5,3.5,4.5,5.69,ricardo,No,3.0
taco stand,4.0,4.5,4.0,4.5,4.5,4.5,4.5,4.5,4.0,6.99,mike,Yes,4.5
taco stand,4.1,4.0,4.5,4.5,4.5,4.7,4.5,4.2,5.0,7.49,luis,Yes,4.7
los tacos,3.5,4.0,5.0,4.0,4.0,3.0,4.0,3.5,4.0,7.9,scott,Yes,4.2
los tacos,3.5,4.0,3.5,4.5,4.5,3.5,3.5,3.5,3.0,7.9,emily,Yes,4.3
el cuervo,3.5,3.5,3.5,3.0,4.0,3.0,3.0,4.5,2.0,6.95,scott,Yes,3.6
el cuervo,4.0,3.5,5.0,4.5,3.5,4.0,4.5,4.5,5.0,5.95,richard,Yes,4.0
el torrito foods,4.0,3.0,5.0,3.0,3.0,2.5,4.0,3.5,5.0,5.49,scott,Yes,3.1
el torrito foods,4.5,3.5,4.0,3.0,2.5,2.8,4.0,2.5,5.0,3.99,emily,No,2.6
la morena taco shop and seafood,4.0,4.0,2.5,4.0,3.0,4.5,2.0,2.0,4.0,6.35,erin,No,3.0
taco villa,2.5,3.2,3.8,4.5,2.8,4.0,2.0,1.8,5.0,5.99,scott,Yes,4.0
rigoberto's taco shop,4.5,3.5,4.5,2.5,2.5,1.0,1.5,3.0,3.0,7.65,scott,No,2.7
rigoberto's taco shop,3.5,4.0,4.5,4.0,4.0,4.5,5.0,4.5,4.5,6.6,ricardo,Yes,4.25
